date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Imports -  GWh,Exports -  GWh,Battery (Charging) -  GWh,Temperature Min - C,Temperature Mean - C,Temperature Max - C,Volume Weighted Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Imports Market Value - AUD,Exports Market Value - AUD,Battery (Charging) Market Value - AUD
2019-01-30 00:00,5.63,1.20,19.66,0.16,0.00,2.43,15.08,11.29,0.00,0.10,-8.06,-0.15,17.20,26.07,38.30,156.79,1172200.42,238012.82,3008046.24,27932.75,0.00,421915.71,2309201.56,1836281.43,70.00,-15278.84,1288310.44,22593.90
2019-01-31 00:00,5.45,1.24,20.14,0.09,0.00,0.09,13.59,6.89,0.00,0.00,-8.61,-0.11,16.20,19.82,24.80,95.22,513295.27,116819.49,1849178.28,8565.06,0.00,13805.56,1312947.99,666851.50,42.61,0.00,789208.55,9313.13
2019-02-01 00:00,6.03,1.18,22.43,0.11,0.00,1.60,10.57,4.14,0.00,0.00,-8.66,-0.14,14.90,21.40,28.90,107.49,577443.46,116276.94,2313054.67,14698.90,0.00,206250.38,1132792.33,443988.49,423.70,0.00,850430.03,11779.35
2019-02-02 00:00,5.57,1.16,6.36,0.11,0.00,3.43,13.54,8.94,0.10,3.74,-0.66,-0.15,15.10,27.51,37.20,256.53,1320263.78,272510.26,1142334.46,41484.52,0.00,1085745.72,3281505.47,2552718.19,78809.99,-1067819.31,95656.62,31811.47
2019-02-03 00:00,5.39,1.14,18.90,0.07,0.00,1.84,15.06,7.12,0.00,0.77,-4.81,-0.11,22.00,28.50,36.70,163.88,1120178.58,233980.75,2915050.79,12897.15,0.00,305691.46,2468457.32,1241838.02,76.31,-129167.20,728457.22,13785.02
2019-02-04 00:00,5.41,1.06,23.02,0.10,0.00,0.00,14.05,5.21,0.01,0.00,-7.97,-0.13,18.40,21.29,26.40,95.40,537251.47,107308.24,2167163.39,10430.39,0.00,0.00,1356130.55,503431.72,1500.28,0.00,763552.40,11425.78
2019-02-05 00:00,5.73,1.18,25.48,0.10,0.00,0.54,11.14,3.96,0.02,0.00,-6.77,-0.12,16.40,22.88,30.40,80.29,397811.93,86181.30,1820474.66,9765.49,0.00,59146.30,973515.28,329668.98,1806.82,-306.92,409057.87,5370.60
2019-02-06 00:00,4.70,0.94,9.40,0.09,0.00,2.06,14.72,8.75,0.01,3.51,-1.12,-0.14,20.00,24.58,30.10,138.94,889175.27,172294.03,1157372.96,16619.75,0.00,333161.36,2067434.68,1319228.56,1083.55,-422266.72,158672.91,14168.96
2019-02-07 00:00,5.56,1.09,12.60,0.15,0.00,2.25,14.81,6.62,0.01,2.22,-2.15,-0.16,18.20,23.76,31.20,142.18,896182.88,172422.55,1575889.95,28193.34,0.00,345915.18,2137454.53,996379.91,941.26,-353281.03,273147.16,17742.26
2019-02-08 00:00,4.82,1.12,22.14,0.14,0.00,0.24,13.13,3.92,0.00,0.00,-7.99,-0.16,17.50,19.68,22.80,88.21,386219.54,84644.78,1767641.55,13046.92,0.00,32156.59,1198867.69,386677.30,40.81,0.00,602912.37,9343.16
2019-02-09 00:00,4.80,0.87,25.98,0.15,0.00,0.00,5.55,2.37,0.00,0.72,-6.65,-0.21,15.60,18.49,21.70,48.92,20906.37,10658.05,1011129.58,9630.97,0.00,0.00,314664.71,122420.72,20.62,-75652.25,117367.83,4473.78
2019-02-10 00:00,4.10,1.08,5.20,0.12,0.00,0.33,10.35,3.62,0.00,8.21,-0.80,-0.13,15.20,18.60,22.10,98.17,293348.05,81933.64,493743.56,11880.80,0.00,43978.42,999385.17,380900.49,43.93,-803123.15,58483.31,10917.78
2019-02-11 00:00,3.89,1.00,18.61,0.11,0.00,0.47,10.25,4.98,0.01,3.18,-5.36,-0.14,18.80,20.92,24.00,93.76,287642.53,76609.40,1559666.42,10681.68,0.00,52364.83,977170.84,484807.13,606.54,-359673.02,408353.97,11425.49
2019-02-12 00:00,3.74,0.67,31.78,0.12,0.00,0.01,7.10,1.53,0.00,0.06,-8.76,-0.20,13.80,17.20,20.50,38.06,-58182.36,-3661.94,1114513.50,5760.04,0.00,348.29,244089.56,62154.09,15.31,-5574.88,186885.63,1492.32
