SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
2021-01-31,VIC1,114243.561719,104589.80224795,0.9155
2021-02-01,NEM,505832.41365274,365560.50111363,0.7227
2021-02-01,NSW1,172972.167822,130370.44599344,0.7537
2021-02-01,QLD1,160015.73196675,116556.03217746,0.7284
2021-02-01,SA1,26590.386914,4395.10916694,0.1653
2021-02-01,TAS1,20878.15960699,100.93131157,0.0048
2021-02-01,VIC1,125375.967343,114137.98246422,0.9104
2021-02-02,NEM,492817.40034449,349370.60549222,0.7089
2021-02-02,NSW1,162705.936118,118751.7546346,0.7299
2021-02-02,QLD1,155763.49351649,116694.65991591,0.7492
2021-02-02,SA1,30304.805142,3144.43065285,0.1038
2021-02-02,TAS1,16936.44223901,85.47792775,0.005
2021-02-02,VIC1,127106.72332899,110694.28236111,0.8709
2021-02-03,NEM,479481.96621827,350107.06954291,0.7302
2021-02-03,NSW1,156435.522978,114141.40186668,0.7296
2021-02-03,QLD1,152808.87459226,114153.4826497,0.747
2021-02-03,SA1,22707.075013,4447.79856377,0.1959
2021-02-03,TAS1,18826.402851,0.0,0.0
2021-02-03,VIC1,128704.09078401,117364.38646276,0.9119
2021-02-04,NEM,511977.18202276,368799.79456429,0.7203
2021-02-04,NSW1,174467.093516,133236.76637566,0.7637
2021-02-04,QLD1,154944.26459575,115559.97941041,0.7458
2021-02-04,SA1,26464.65961,5303.7359879,0.2004
2021-02-04,TAS1,25897.057199,0.0,0.0
2021-02-04,VIC1,130204.10710201,114699.31279032,0.8809
2021-02-05,NEM,525698.32885798,361985.55616616,0.6886
2021-02-05,NSW1,184371.877474,134370.25642151,0.7288
2021-02-05,QLD1,154384.078831,114909.19898319,0.7443
2021-02-05,SA1,36141.814459,3122.22662492,0.0864
2021-02-05,TAS1,20091.64704799,0.0,0.0
2021-02-05,VIC1,130708.91104599,109583.87413654,0.8384
2021-02-06,NEM,474792.90174552,324881.3472591,0.6843
2021-02-06,NSW1,156009.09073901,112319.00111687,0.72
2021-02-06,QLD1,152813.7007435,114911.02159764,0.752
2021-02-06,SA1,32698.562829,3191.33463233,0.0976
2021-02-06,TAS1,20669.50360901,0.0,0.0
2021-02-06,VIC1,112602.043825,94459.98991226,0.8389
2021-02-07,NEM,473369.15936502,332019.05892366,0.7014
2021-02-07,NSW1,152458.77497201,111514.4981747,0.7314
2021-02-07,QLD1,162044.32210201,121444.57520433,0.7495
2021-02-07,SA1,21638.760077,3329.26235322,0.1539
2021-02-07,TAS1,22826.821258,0.0,0.0
2021-02-07,VIC1,114400.480956,95730.72319141,0.8368
2021-02-08,NEM,501913.79556748,347649.42044272,0.6926
2021-02-08,NSW1,165774.77966199,117095.3849699,0.7064
2021-02-08,QLD1,163308.28391849,121111.58711985,0.7416
2021-02-08,SA1,27483.660528,3213.03289282,0.1169
2021-02-08,TAS1,17195.718149,0.0,0.0
2021-02-08,VIC1,128151.35331,106229.41546015,0.8289
2021-02-09,NEM,493713.45865235,349580.01121807,0.7081
2021-02-09,NSW1,165527.255873,119158.48957566,0.7199
2021-02-09,QLD1,155895.01860335,114814.31430301,0.7365
2021-02-09,SA1,25610.090073,4133.36140282,0.1614
2021-02-09,TAS1,20597.292345,0.0,0.0
2021-02-09,VIC1,126083.801758,111473.84593658,0.8841
2021-02-10,NEM,507798.99113199,370118.70657521,0.7289
2021-02-10,NSW1,162903.10993699,123585.97664208,0.7586
2021-02-10,QLD1,154148.20258699,114572.27025884,0.7433
2021-02-10,SA1,26685.62045499,7538.28010119,0.2825
2021-02-10,TAS1,24023.35063901,0.0,0.0
2021-02-10,VIC1,140038.70751401,124422.1795731,0.8885
2021-02-11,NEM,533981.75985524,364123.04802425,0.6819
